request,category,action,confidence,capabilities
"list all servers",asset_management,get_asset_info,0.95,"asset_management|asset_query|resource_listing"
"get credentials for ssh",asset_management,count_assets,0.92,"asset_management|asset_query"
"emergency shutdown of apache",automation,run_script,0.81,"system_info|process_management"
"analyze logs for permission denied",troubleshooting,analyze_logs,0.86,"log_analysis|text_search"
"get information about server",asset_management,get_credentials,0.97,"credential_access|secret_retrieval"
"emergency shutdown of nginx",automation,execute_command,0.76,"system_info|process_management"
"set permissions for /etc/nginx",configuration,set_permissions,0.85,"system_info|disk_management|service_management"
"discover assets in 192.168.1.0/24",asset_management,find_asset,0.79,"asset_management|asset_query"
"run backup.sh on 192.168.1.100",automation,start_service,0.83,"service_management|system_monitoring"
"show examples of ssh keys",information,calculate,0.94,"system_info"
"show dashboard for apache",monitoring,view_dashboard,0.97,"system_monitoring|api_query|disk_monitoring"
"show dashboard for ssh",monitoring,check_alerts,0.83,"system_monitoring|log_analysis"
"show documentation for kubernetes",information,calculate,0.86,"system_info"
"display contents of /etc/passwd",information,get_help,0.76,"system_info"
"modify buffer_size in apache",configuration,configure_service,0.9,"service_management|system_info"
"change timeout to 512MB",configuration,update_environment,0.85,"system_info|service_management"
"discover assets in production network",asset_management,get_credentials,0.83,"credential_access|secret_retrieval"
"show documentation for kubernetes",information,show_documentation,0.97,"system_info|resource_listing"
"check connectivity to 192.168.1.100",troubleshooting,debug_application,0.75,"process_monitoring|log_analysis|system_monitoring"
"configure mysql on 192.168.1.100",configuration,modify_parameters,0.77,"system_info|service_management"
"check alerts for production",monitoring,check_alerts,0.83,"system_monitoring|log_analysis|memory_monitoring"
"diagnose mysql issue",troubleshooting,analyze_logs,0.87,"log_analysis|text_search|network_testing"
"show dashboard for postgresql",monitoring,get_metrics,0.88,"system_monitoring|memory_monitoring|disk_monitoring"
"show process list",information,calculate,0.92,"system_info"
"update mysql configuration",configuration,update_security,0.9,"system_info|service_management"
"query assets in AWS us-east-1",asset_management,list_assets,0.85,"asset_management|resource_listing|asset_query"
"get server list",information,describe_system,0.83,"system_info|infrastructure_info"
"what is the status of service",information,describe_system,0.84,"system_info|infrastructure_info"
"run cleanup.py on server1",automation,deploy_application,0.89,"service_management|disk_management|system_monitoring"
"diagnose docker issue",troubleshooting,check_connectivity,0.76,"network_testing|network_monitoring"
"fix disk space on web-01",troubleshooting,fix_problem,0.92,"service_management|system_info|process_management"
"restore /var/www from /snapshots/latest",automation,emergency_response,0.93,"service_management|system_monitoring|process_management"
"what is the status of service",information,provide_information,0.81,"system_info|infrastructure_info|resource_listing"
"show documentation for kubernetes",information,math,0.9,"system_info"
"read /proc/cpuinfo",information,show_documentation,0.79,"system_info"
"diagnose performance issues on db-server",troubleshooting,investigate_error,0.87,"log_analysis|system_monitoring"
"describe load balancer",information,list_resources,0.82,"resource_listing|system_info"
"investigate connection timeout in database",troubleshooting,check_connectivity,0.78,"network_testing|network_monitoring"
"change max_connections to 8080",configuration,change_settings,0.96,"system_info|service_management|disk_management"
"monitor performance of web-01",monitoring,check_status,0.96,"system_monitoring|service_management"
"update security settings for docker",configuration,update_environment,0.76,"system_info|service_management"
"set permissions for /etc/nginx",configuration,change_settings,0.81,"system_info|service_management|disk_management"
"run deploy.py on 192.168.1.100",automation,restore_data,0.92,"disk_management|system_info"
"monitor performance of 192.168.1.100",monitoring,monitor_performance,0.93,"system_monitoring|memory_monitoring|process_monitoring|log_analysis"
"update security settings for docker",configuration,update_config,0.84,"system_info|service_management|disk_management"
"change memory_limit to 512MB",configuration,modify_parameters,0.8,"system_info|service_management"
"list available services",information,compute,0.79,"system_info|resource_listing"
"check status of docker",monitoring,check_alerts,0.97,"system_monitoring|log_analysis|memory_monitoring"
"fix disk space on prod-web-01",troubleshooting,analyze_logs,0.98,"log_analysis|text_search"
"change memory_limit to 512MB",configuration,update_security,0.94,"system_info|service_management"
"start redis on 192.168.1.100",automation,execute_command,0.84,"system_info|process_management"
"count active servers",asset_management,get_asset_info,0.77,"asset_management|asset_query"
"describe web server",information,compute,0.96,"system_info|resource_listing"
"display contents of /etc/passwd",information,math,0.83,"system_info"
"fix connection issue on server1",troubleshooting,diagnose_performance,0.77,"system_monitoring|memory_monitoring|process_monitoring|log_analysis"
"find asset by hostname",asset_management,find_asset,0.82,"asset_management|asset_query"
"check connectivity to db-server",troubleshooting,diagnose_performance,0.78,"system_monitoring|memory_monitoring|process_monitoring|log_analysis"
"monitor performance of prod-web-01",monitoring,get_metrics,0.8,"system_monitoring|memory_monitoring|disk_monitoring"
"update postgresql configuration",configuration,change_settings,0.9,"system_info|service_management|disk_management"
"stop postgresql",automation,run_script,0.95,"system_info|process_management"
"restore /home/user from /backup/daily",automation,execute_command,0.96,"system_info|process_management"
"show dashboard for redis",monitoring,check_status,0.87,"system_monitoring|service_management"
"emergency shutdown of redis",automation,restart_service,0.76,"service_management|system_monitoring"
"check alerts for production",monitoring,monitor_performance,0.76,"system_monitoring|memory_monitoring|process_monitoring|disk_monitoring"
"update security settings for postgresql",configuration,update_security,0.76,"system_info|service_management|disk_management"
"discover assets in 10.0.0.0/16",asset_management,get_asset,0.91,"asset_management|asset_query"
"display contents of /etc/hostname",information,answer_question,0.77,"system_info"
"diagnose performance issues on prod-web-01",troubleshooting,analyze_logs,0.84,"log_analysis|text_search"
"show examples of cron jobs",information,explain_concept,0.87,"system_info|infrastructure_info"
"check connectivity to server1",troubleshooting,diagnose_issue,0.92,"system_monitoring|log_analysis|process_monitoring|network_testing"
"list all servers",asset_management,asset_discovery,0.9,"asset_management|network_info"
"emergency shutdown of apache",automation,restart_service,0.79,"service_management|system_monitoring"
"restart docker service",automation,restore_data,0.83,"disk_management|system_info"
"monitor performance of db-server",monitoring,check_alerts,0.83,"system_monitoring|log_analysis"
"configure apache on web-01",configuration,update_environment,0.9,"system_info|service_management"
"get asset web-staging-02",asset_management,asset_discovery,0.92,"asset_management|network_info"
"restart nginx service",automation,restore_data,0.92,"disk_management|system_info"
"search for db-primary",asset_management,list_hosts,0.75,"asset_management|resource_listing|network_info"
"modify buffer_size in mysql",configuration,update_security,0.93,"system_info|service_management"
"show process list",information,math,0.87,"system_info"
"list available credentials",asset_management,get_asset,0.84,"asset_management|asset_query"
"restart apache service",automation,deploy_application,0.76,"service_management|disk_management|system_monitoring"
"discover assets in 192.168.1.0/24",asset_management,list_hosts,0.77,"asset_management|resource_listing|network_info"
"get information about database",asset_management,asset_count,0.95,"asset_management|asset_query"
"investigate 404 error in database",troubleshooting,investigate_error,0.82,"log_analysis|system_monitoring|network_testing"
"explain SSL certificates",information,get_help,0.82,"system_info"
"check alerts for development",monitoring,check_status,0.94,"system_monitoring|service_management|log_analysis"
"get credentials for nginx",asset_management,list_hosts,0.76,"asset_management|resource_listing"
"modify buffer_size in mysql",configuration,change_settings,0.96,"system_info|service_management"
"update postgresql configuration",configuration,configure_service,0.84,"service_management|system_info|disk_management"
"monitor performance of 192.168.1.100",monitoring,view_logs,0.85,"log_analysis|system_info|memory_monitoring"
"count active servers",asset_management,find_asset,0.95,"asset_management|asset_query"
"analyze logs for 404 error",troubleshooting,investigate_error,0.81,"log_analysis|system_monitoring"
"configure redis on web-01",configuration,modify_parameters,0.76,"system_info|service_management"
"check health of API",monitoring,check_alerts,0.78,"system_monitoring|log_analysis"
"discover assets in production network",asset_management,find_asset,0.86,"asset_management|asset_query"
"fix memory leak on server1",troubleshooting,diagnose_performance,0.79,"system_monitoring|memory_monitoring|process_monitoring"
"query assets in on-premises",asset_management,find_asset,0.94,"asset_management|asset_query"
"fix disk space on 192.168.1.100",troubleshooting,fix_problem,0.82,"service_management|system_info|process_management"
"execute df -h",automation,restore_data,0.96,"disk_management|system_info"
"list hosts in development",asset_management,list_credentials,0.94,"credential_access|secret_retrieval"
"debug web app performance",troubleshooting,investigate_error,0.94,"log_analysis|system_monitoring"
"deploy application to development",automation,execute_command,0.96,"system_info|process_management"
"analyze logs for connection timeout",troubleshooting,debug_application,0.82,"process_monitoring|log_analysis|system_monitoring"
"view logs for docker",monitoring,view_logs,0.95,"log_analysis|system_info"
"display contents of /var/log/nginx/access.log",information,describe_system,0.97,"system_info|infrastructure_info"
"fix disk space on web-01",troubleshooting,diagnose_performance,0.94,"system_monitoring|memory_monitoring|process_monitoring|log_analysis"
"start redis on db-server",automation,backup_data,0.83,"disk_management|system_info"
"investigate permission denied in web app",troubleshooting,fix_problem,0.95,"service_management|system_info|process_management|system_monitoring"
"monitor performance of prod-web-01",monitoring,get_metrics,0.75,"system_monitoring|memory_monitoring|disk_monitoring"
"diagnose performance issues on prod-web-01",troubleshooting,analyze_logs,0.92,"log_analysis|text_search"
"analyze logs for 404 error",troubleshooting,check_connectivity,0.89,"network_testing|network_monitoring"
"monitor performance of db-server",monitoring,monitor_performance,0.91,"system_monitoring|memory_monitoring|process_monitoring"
"monitor performance of db-server",monitoring,check_status,0.83,"system_monitoring|service_management|process_monitoring"
"configure nginx on server1",configuration,change_settings,0.78,"system_info|service_management|disk_management"
"show system info",information,show_documentation,0.8,"system_info"
"check health of web app",monitoring,monitor_performance,0.87,"system_monitoring|memory_monitoring|process_monitoring|log_analysis"
"change port to 512MB",configuration,modify_parameters,0.83,"system_info|service_management"
"get asset server-001",asset_management,query_assets,0.87,"asset_management|asset_query"
"show process list",information,describe_system,0.96,"system_info|infrastructure_info"
"fix memory leak on 192.168.1.100",troubleshooting,diagnose_performance,0.92,"system_monitoring|memory_monitoring|process_monitoring"
"get CPU metrics for prod-web-01",monitoring,get_metrics,0.83,"system_monitoring|memory_monitoring|disk_monitoring"
"what is the status of web server",information,compute,0.94,"system_info"
"check health of web app",monitoring,check_health,0.86,"system_monitoring|service_management|log_analysis"
"set permissions for /var/www",configuration,update_environment,0.91,"system_info|service_management|disk_management"
"search for db-primary",asset_management,search_assets,0.91,"asset_management|asset_query"
"fix disk space on server1",troubleshooting,check_connectivity,0.83,"network_testing|network_monitoring"
"show dashboard for redis",monitoring,monitor_performance,0.8,"system_monitoring|memory_monitoring|process_monitoring"
"read /etc/passwd",information,compute,0.98,"system_info|infrastructure_info"
"describe web server",information,compute,0.82,"system_info"
"discover assets in production network",asset_management,search_assets,0.96,"asset_management|asset_query"
"restart docker service",automation,run_script,0.97,"system_info|process_management"
"emergency shutdown of ssh",automation,restore_data,0.93,"disk_management|system_info"
"diagnose postgresql issue",troubleshooting,fix_problem,0.83,"service_management|system_info|process_management"
"read /etc/passwd",information,provide_information,0.79,"system_info|infrastructure_info"
"configure mysql on db-server",configuration,modify_parameters,0.89,"system_info|service_management"
"what is the status of application",information,provide_information,0.8,"system_info|infrastructure_info"
"change timeout to 8080",configuration,update_security,0.91,"system_info|service_management"
"check alerts for development",monitoring,view_logs,0.85,"log_analysis|system_info"
"list all servers",asset_management,search_assets,0.83,"asset_management|asset_query|network_info"
"update nginx configuration",configuration,configure_service,0.89,"service_management|system_info|disk_management"
"get asset db-prod-01",asset_management,get_asset_info,0.84,"asset_management|asset_query"
"check connectivity to 192.168.1.100",troubleshooting,diagnose_issue,0.92,"system_monitoring|log_analysis|process_monitoring"
"show dashboard for mysql",monitoring,view_logs,0.81,"log_analysis|system_info"
"diagnose ssh issue",troubleshooting,diagnose_issue,0.83,"system_monitoring|log_analysis|process_monitoring"
"stop redis",automation,restart_service,0.86,"service_management|system_monitoring"
"show dashboard for apache",monitoring,check_alerts,0.78,"system_monitoring|log_analysis"
"query assets in datacenter-1",asset_management,list_hosts,0.81,"asset_management|resource_listing"
"view logs for mysql",monitoring,view_dashboard,0.81,"system_monitoring|api_query|log_analysis"
"check connectivity to web-01",troubleshooting,fix_problem,0.81,"service_management|system_info|process_management"
"check connectivity to db-server",troubleshooting,diagnose_issue,0.97,"system_monitoring|log_analysis|process_monitoring"
"deploy microservice to test",automation,backup_data,0.85,"disk_management|system_info|process_management"
"restore /etc/nginx from /backup/daily",automation,deploy_application,0.8,"service_management|disk_management|system_monitoring"
"change timeout to 30s",configuration,configure_service,0.8,"service_management|system_info"
"change max_connections to 512MB",configuration,update_config,0.96,"system_info|service_management"
"diagnose performance issues on prod-web-01",troubleshooting,check_connectivity,0.91,"network_testing|network_monitoring"
"analyze logs for out of memory",troubleshooting,fix_problem,0.78,"service_management|system_info|process_management"
"list available containers",information,list_resources,0.79,"resource_listing|system_info"
"read /etc/hostname",information,get_help,0.91,"system_info"
"explain load balancing",information,get_help,0.86,"system_info|infrastructure_info"
"diagnose postgresql issue",troubleshooting,analyze_logs,0.93,"log_analysis|text_search"
"list all servers",asset_management,list_assets,0.82,"asset_management|resource_listing"
"get asset web-staging-02",asset_management,asset_count,0.82,"asset_management|asset_query|network_info"
"diagnose performance issues on web-01",troubleshooting,check_connectivity,0.95,"network_testing|network_monitoring"
"list available servers",information,compute,0.8,"system_info|resource_listing"
"show dashboard for postgresql",monitoring,check_status,0.8,"system_monitoring|service_management|process_monitoring"
"list available databases",information,show_examples,0.85,"system_info"
"update docker configuration",configuration,update_config,0.86,"system_info|service_management|disk_management"
"deploy webapp to production",automation,stop_service,0.9,"service_management|system_monitoring"
"emergency shutdown of redis",automation,restart_service,0.86,"service_management|system_monitoring"
"start postgresql on 192.168.1.100",automation,restart_service,0.84,"service_management|system_monitoring"
"configure redis on server1",configuration,change_settings,0.85,"system_info|service_management"
"change memory_limit to 100",configuration,update_security,0.92,"system_info|service_management|disk_management"
"set permissions for /var/log",configuration,update_security,0.76,"system_info|service_management"
"restore /etc/nginx from /backup/daily",automation,stop_service,0.97,"service_management|system_monitoring"
"stop ssh",automation,run_script,0.92,"system_info|process_management"
"execute ls -la",automation,restore_data,0.89,"disk_management|system_info|service_management"
"check health of database",monitoring,monitor_performance,0.96,"system_monitoring|memory_monitoring|process_monitoring"
"set permissions for /home/user",configuration,modify_parameters,0.91,"system_info|service_management"
"view logs for ssh",monitoring,check_status,0.87,"system_monitoring|service_management"
"investigate 404 error in database",troubleshooting,debug_application,0.77,"process_monitoring|log_analysis|system_monitoring"
"analyze logs for connection timeout",troubleshooting,check_connectivity,0.77,"network_testing|network_monitoring"
"restart mysql service",automation,run_script,0.85,"system_info|process_management|service_management"
"query assets in on-premises",asset_management,get_credentials,0.94,"credential_access|secret_retrieval|asset_management"
"get information about load balancer",asset_management,list_assets,0.89,"asset_management|resource_listing"
"change timeout to 100",configuration,change_settings,0.79,"system_info|service_management"
"execute ps aux",automation,restore_data,0.82,"disk_management|system_info"
"get information about database",asset_management,list_credentials,0.9,"credential_access|secret_retrieval"
"debug database performance",troubleshooting,fix_problem,0.77,"service_management|system_info|process_management"
"count active servers",asset_management,list_hosts,0.8,"asset_management|resource_listing|network_info"
"modify max_connections in ssh",configuration,configure_service,0.96,"service_management|system_info"
"calculate disk space",information,show_documentation,0.81,"system_info"
"execute systemctl status",automation,restart_service,0.9,"service_management|system_monitoring"
"get CPU metrics for 192.168.1.100",monitoring,check_alerts,0.87,"system_monitoring|log_analysis"
"set permissions for /home/user",configuration,set_permissions,0.89,"system_info|disk_management"
"get credentials for ssh",asset_management,find_asset,0.95,"asset_management|asset_query|network_info"
"check health of database",monitoring,get_metrics,0.97,"system_monitoring|memory_monitoring|disk_monitoring"
"calculate disk space",information,calculate,0.79,"system_info"
"update production settings",configuration,update_security,0.92,"system_info|service_management|disk_management"
"describe database cluster",information,show_documentation,0.77,"system_info"
"describe load balancer",information,compute,0.9,"system_info"
"show examples of cron jobs",information,get_help,0.79,"system_info|resource_listing"
"set permissions for /etc/nginx",configuration,change_settings,0.78,"system_info|service_management"
"execute ls -la",automation,backup_data,0.77,"disk_management|system_info"
"get CPU metrics for web-01",monitoring,get_metrics,0.96,"system_monitoring|memory_monitoring|disk_monitoring"
"monitor performance of prod-web-01",monitoring,check_health,0.8,"system_monitoring|service_management"
"analyze logs for 404 error",troubleshooting,debug_application,0.92,"process_monitoring|log_analysis|system_monitoring|network_testing"
"update ssh configuration",configuration,update_environment,0.79,"system_info|service_management|disk_management"
"check alerts for development",monitoring,view_logs,0.98,"log_analysis|system_info"
"diagnose redis issue",troubleshooting,diagnose_issue,0.93,"system_monitoring|log_analysis|process_monitoring|network_testing"
"diagnose performance issues on prod-web-01",troubleshooting,diagnose_issue,0.82,"system_monitoring|log_analysis|process_monitoring"
"modify buffer_size in redis",configuration,set_permissions,0.83,"system_info|disk_management|service_management"
"list all servers",asset_management,find_asset,0.86,"asset_management|asset_query|resource_listing"
"check health of API",monitoring,view_logs,0.9,"log_analysis|system_info"
"count active servers",asset_management,list_credentials,0.91,"credential_access|secret_retrieval"
"change timeout to 100",configuration,update_config,0.93,"system_info|service_management|disk_management"
"show process list",information,show_documentation,0.84,"system_info"
"list all servers",asset_management,query_assets,0.95,"asset_management|asset_query"
"view logs for apache",monitoring,view_dashboard,0.94,"system_monitoring|api_query"
"investigate out of memory in service",troubleshooting,diagnose_performance,0.97,"system_monitoring|memory_monitoring|process_monitoring|log_analysis"
"fix memory leak on prod-web-01",troubleshooting,fix_problem,0.81,"service_management|system_info|process_management"
"view logs for docker",monitoring,get_metrics,0.81,"system_monitoring|memory_monitoring|disk_monitoring"
"check status of ssh",monitoring,view_logs,0.94,"log_analysis|system_info"
"calculate disk space",information,show_examples,0.9,"system_info"
